Iteration,sigma0,C1,gamma1,C2,gamma2,NRMSE_weighted,NRMSE_00,NRMSE_45,NRMSE_90,Status
104,262.187594,979.159067,419.007347,198.166392,155.524052,5.00000000,0.43697034,,0.52600055,partial_fail
105,262.921054,974.891196,418.996322,198.743380,155.609372,5.00000000,0.43199182,,0.52102890,partial_fail
106,262.416714,977.136155,418.885633,198.450769,155.671985,0.43298452,0.43542371,0.38602917,0.52445604,ok
107,262.419749,977.466336,418.881343,198.517970,155.548503,0.43298649,0.43538805,0.38606875,0.52442040,ok
108,262.724328,976.021562,419.038073,198.509931,155.599754,5.00000000,0.43333292,,0.52236814,partial_fail
109,262.745516,975.656922,419.026853,198.551242,155.637007,5.00000000,0.43319335,,0.52222874,partial_fail
110,262.787733,975.233095,418.940294,198.685283,155.653879,5.00000000,0.43290281,,0.52193859,partial_fail
111,262.298760,978.078342,418.947643,198.300625,155.596999,5.00000000,0.43622174,,0.52525301,partial_fail
112,262.665490,975.944406,418.942131,198.589119,155.639659,5.00000000,0.43373246,,0.52276711,partial_fail
113,262.413320,977.066886,418.886786,198.442813,155.670965,0.43298329,0.43544841,0.38600202,0.52448069,ok
114,262.414837,977.231976,418.884642,198.476414,155.609224,0.43298428,0.43543060,0.38602179,0.52446294,ok
115,262.567127,976.509589,418.963006,198.472394,155.634850,0.43303527,0.43440302,0.38715067,0.52343673,ok
116,262.577721,976.327269,418.957396,198.493050,155.653476,5.00000000,0.43433325,,0.52336708,partial_fail
117,262.598829,976.115356,418.914117,198.560070,155.661912,5.00000000,0.43418798,,0.52322196,partial_fail
118,262.354343,977.537979,418.917791,198.367741,155.633472,0.43296350,0.43584746,0.38556366,0.52487920,ok
119,262.232099,978.249291,418.919629,198.271576,155.619252,5.00000000,0.43667717,,0.52570783,partial_fail
120,262.286100,977.810350,418.858670,198.384638,155.633907,5.00000000,0.43630782,,0.52533891,partial_fail
121,262.504815,976.698039,418.932715,198.465947,155.648584,5.00000000,0.43482685,,0.52386001,partial_fail
122,262.382134,977.267798,418.902866,198.401299,155.651709,0.43297277,0.43566029,0.38576924,0.52469230,ok
123,262.383831,977.302433,418.902289,198.405277,155.652219,0.43297339,0.43564792,0.38578287,0.52467992,ok
124,262.384590,977.384978,418.901217,198.422077,155.621348,0.43297388,0.43563903,0.38579272,0.52467106,ok
125,262.460735,977.023784,418.940399,198.420068,155.634161,0.43299938,0.43512515,0.38635723,0.52415792,ok
126,262.466032,976.932624,418.937594,198.430395,155.643474,5.00000000,0.43509030,,0.52412313,partial_fail
127,262.320221,977.674164,418.888231,198.376190,155.633690,5.00000000,0.43607762,,0.52510904,partial_fail
128,262.429579,977.118009,418.925253,198.416844,155.641028,0.43298883,0.43533714,0.38612430,0.52436960,ok
129,262.313056,977.620694,418.879367,198.385228,155.645750,5.00000000,0.43612752,,0.52515891,partial_fail
130,262.423815,977.173012,418.925141,198.411358,155.637058,0.43298691,0.43537576,0.38608186,0.52440818,ok
131,262.341906,977.548470,418.894468,198.386257,155.637295,0.43295935,0.43593102,0.38547187,0.52496264,ok
132,262.298070,977.763701,418.879076,198.370964,155.635428,5.00000000,0.43622793,,0.52525917,partial_fail
133,262.314907,977.643651,418.882311,198.381703,155.641359,5.00000000,0.43611454,,0.52514589,partial_fail
134,262.396588,977.290672,418.914434,198.403944,155.638134,5.00000000,0.43556041,,0.52459260,partial_fail
135,262.348124,977.543225,418.906130,198.376999,155.635384,0.43296142,0.43588922,0.38551777,0.52492094,ok
136,262.362020,977.408134,418.898667,198.393778,155.644502,0.43296605,0.43579561,0.38562058,0.52482745,ok
137,262.362869,977.425451,418.898379,198.395767,155.644757,0.43296636,0.43578939,0.38562739,0.52482126,ok
138,262.363248,977.466724,418.897842,198.404167,155.629322,0.43296663,0.43578506,0.38563229,0.52481687,ok
139,262.382861,977.360741,418.909805,198.398807,155.637176,0.43297314,0.43565342,0.38577686,0.52468542,ok
140,262.328406,977.596061,418.888390,198.383980,155.639327,5.00000000,0.43602277,,0.52505423,partial_fail
141,262.369247,977.419571,418.904451,198.395101,155.637714,0.43296855,0.43574575,0.38567539,0.52477766,ok
