Customer	SGCC_1.5
TestDate	4/4/2026
Coil No/Packet No	45-02
Type	Flat
Size(mm)	20*1.53
So(mm^2)	30.60
Lo(mm)	85
Lu(mm)	
A(%)	/
Su(mm^2)	/
Z(%)	/
Fm(kgf)	1018.0
Rm(MPa)	303
FeH(kgf)	/
ReH(MPa)	/
FeL(kgf)	/
ReL(MPa)	/
Fp(kgf)	3.181
Rp(MPa)	1
Ft(kgf)	/
Rt(MPa)	/
E(GPa)	/


-----------Curve----------
Time	Load	Elong	Disp	Stress	Strain	TrueStress	TrueStrain
168.832	7.401	0.0000	5.610	241.856	0.000	241.856	0.000
169.832	7.407	0.0000	5.643	242.065	0.000	242.065	0.000
170.831	7.266	0.0000	5.676	237.458	0.000	237.458	0.000
171.83	7.242	0.0000	5.710	236.667	0.000	236.667	0.000
172.829	7.250	0.0000	5.743	236.925	0.000	236.925	0.000
173.825	7.262	0.0000	5.776	237.337	0.000	237.337	0.000
174.827	7.276	0.0000	5.809	237.768	0.000	237.768	0.000
175.826	7.258	0.0000	5.843	237.173	0.000	237.173	0.000
176.824	7.242	0.0000	5.876	236.667	0.000	236.667	0.000
177.823	7.254	0.0000	5.909	237.065	0.000	237.065	0.000
178.822	7.267	0.0000	5.943	237.497	0.000	237.497	0.000
179.822	7.280	0.0000	5.976	237.915	0.000	237.915	0.000
180.82	7.250	0.0000	6.009	236.925	0.000	236.925	0.000
181.819	7.200	0.0000	6.043	235.278	0.000	235.278	0.000
182.819	7.200	0.0000	6.076	235.301	0.000	235.301	0.000
183.818	7.210	0.0000	6.109	235.634	0.000	235.634	0.000
184.816	7.225	0.0000	6.142	236.114	0.000	236.114	0.000
185.816	7.242	0.0000	6.176	236.650	0.000	236.650	0.000
186.814	7.261	0.0000	6.209	237.284	0.000	237.284	0.000
187.814	7.278	0.0000	6.242	237.850	0.000	237.850	0.000
188.812	7.297	0.0000	6.276	238.448	0.000	238.448	0.000
189.812	7.321	0.0000	6.309	239.252	0.000	239.252	0.000
190.81	7.349	0.0000	6.342	240.154	0.000	240.154	0.000
191.809	7.376	0.0000	6.376	241.033	0.000	241.033	0.000
192.809	7.404	0.0000	6.409	241.954	0.000	241.954	0.000
193.807	7.434	0.0000	6.442	242.925	0.000	242.925	0.000
194.805	7.463	0.0000	6.475	243.882	0.000	243.882	0.000
195.805	7.492	0.0000	6.509	244.830	0.000	244.830	0.000
196.805	7.519	0.0000	6.542	245.716	0.000	245.716	0.000
197.803	7.546	0.0000	6.575	246.598	0.000	246.598	0.000
198.802	7.573	0.0000	6.609	247.493	0.000	247.493	0.000
199.802	7.599	0.0000	6.642	248.327	0.000	248.327	0.000
200.801	7.620	0.0000	6.675	249.013	0.000	249.013	0.000
